timestamp,hour,day_of_week,is_raining,rain_intensity,temperature,wind_speed,visibility,revenue_per_min,trip_duration,wait_time,utilization_rate,daily_earnings,positioning_efficiency,weather_response_delay,operation_type
2024-06-07 19:28:00,19,4,True,4.54,12.4,0.8,12.4,78.11,49.5,13.3,50.3,23561,0.67,28.8,traditional
2024-06-08 23:02:00,23,5,True,10.51,18.2,1.6,7.6,91.24,59.1,17.3,52.4,28690,0.66,20.5,traditional
2024-06-22 11:24:00,11,5,False,0.0,13.9,2.8,16.6,43.38,32.4,7.6,49.4,12864,0.69,26.0,traditional
2024-06-19 11:54:00,11,2,False,0.0,31.1,9.1,14.5,31.52,32.4,8.0,43.1,8149,0.6,28.5,traditional
2024-06-14 17:57:00,17,4,False,0.0,24.3,4.6,11.8,51.18,32.4,5.5,50.0,15349,0.7,18.7,traditional
2024-06-14 16:35:00,16,4,True,4.22,11.0,6.7,4.9,64.3,49.0,13.1,57.9,22355,0.77,15.9,traditional
2024-06-12 01:09:00,1,2,False,0.0,27.9,0.7,15.9,31.85,32.4,6.3,43.5,8323,0.61,20.9,traditional
2024-06-16 12:17:00,12,6,False,0.0,25.7,7.5,15.4,41.37,32.4,5.9,47.1,11702,0.66,23.3,traditional
2024-06-25 06:08:00,6,1,False,0.0,26.7,10.4,19.4,32.15,32.4,6.4,44.0,8481,0.61,38.1,traditional
2024-06-09 06:08:00,6,6,False,0.0,18.2,3.0,14.1,46.81,32.4,7.2,53.3,14980,0.75,24.8,traditional
2024-06-27 02:00:00,2,3,False,0.0,14.5,2.4,18.9,38.81,32.4,5.7,53.1,12357,0.74,16.2,traditional
2024-06-28 12:50:00,12,4,True,3.04,22.7,19.1,0.5,57.08,47.0,12.3,51.4,17612,0.68,22.5,traditional
2024-06-11 03:12:00,3,1,True,1.03,26.0,16.4,9.5,53.33,43.8,10.9,48.1,15376,0.64,39.1,traditional
2024-06-30 10:57:00,10,6,True,1.32,19.9,8.3,7.4,67.33,44.3,11.1,50.6,20424,0.67,15.0,traditional
2024-06-03 06:05:00,6,0,False,0.0,10.7,1.0,12.9,41.24,32.4,6.3,56.4,13953,0.79,25.1,traditional
2024-06-24 08:51:00,8,0,False,0.0,21.9,2.9,6.6,44.47,32.4,7.1,43.4,11588,0.61,23.5,traditional
2024-06-02 21:22:00,21,6,False,0.0,20.5,1.3,16.5,50.03,32.4,6.1,57.0,17108,0.8,29.7,traditional
2024-06-04 22:10:00,22,1,False,0.0,27.8,5.1,11.9,35.55,32.4,7.7,48.6,10368,0.68,44.5,traditional
2024-06-16 00:08:00,0,6,False,0.0,35.7,0.1,19.4,48.6,32.4,7.2,47.0,13698,0.65,30.4,traditional
2024-06-20 08:32:00,8,3,False,0.0,32.0,9.0,15.3,46.99,32.4,6.9,45.9,12939,0.64,37.1,traditional
2024-06-10 02:06:00,2,0,False,0.0,23.8,6.0,20.0,32.35,32.4,7.9,44.2,8586,0.62,22.3,traditional
2024-06-05 22:08:00,22,2,False,0.0,28.5,15.5,17.4,40.67,32.4,7.8,55.6,13565,0.78,27.1,traditional
2024-06-17 07:35:00,7,0,False,0.0,24.3,0.0,11.4,51.97,32.4,7.3,50.7,15823,0.71,19.8,traditional
2024-06-16 08:35:00,8,6,False,0.0,16.0,11.0,9.3,67.64,32.4,7.2,55.0,22340,0.77,34.5,traditional
2024-06-01 15:11:00,15,5,False,0.0,11.5,7.1,18.6,43.77,32.4,7.9,49.9,13093,0.7,44.4,traditional
2024-06-27 01:20:00,1,3,False,0.0,19.9,1.7,20.0,34.32,32.4,5.5,46.9,9660,0.66,36.7,traditional
2024-06-17 16:43:00,16,0,False,0.0,21.0,27.2,18.7,40.3,32.4,6.2,55.1,13324,0.77,43.9,traditional
2024-06-21 22:32:00,22,4,False,0.0,23.7,22.0,8.8,37.34,32.4,5.7,51.1,11439,0.71,35.9,traditional
2024-06-15 21:22:00,21,5,True,2.19,24.9,9.6,7.7,67.47,45.7,11.7,50.7,20508,0.67,36.1,traditional
2024-06-29 09:54:00,9,5,False,0.0,27.3,0.7,7.8,63.75,32.4,6.0,51.9,19844,0.73,15.2,traditional
2024-06-08 13:15:00,13,5,True,6.53,22.5,4.6,4.8,91.9,52.7,14.6,52.8,29107,0.67,35.2,traditional
2024-06-26 21:57:00,21,2,False,0.0,24.8,3.2,5.6,34.22,32.4,8.1,46.8,9606,0.65,39.8,traditional
2024-06-07 03:05:00,3,4,True,2.27,39.2,10.4,7.9,70.62,45.8,11.7,54.5,23087,0.7,44.3,traditional
2024-06-30 18:16:00,18,6,False,0.0,34.7,2.3,12.8,54.14,32.4,6.6,44.1,14311,0.62,20.5,traditional
2024-06-12 20:00:00,20,2,True,0.51,24.5,10.0,1.2,44.6,42.9,10.5,48.2,12894,0.66,34.8,traditional
2024-06-16 06:04:00,6,6,False,0.0,9.8,3.5,12.6,37.84,32.4,5.8,43.1,9786,0.6,37.7,traditional
2024-06-05 14:48:00,14,2,False,0.0,17.6,5.0,20.0,31.88,32.4,8.0,43.6,8338,0.61,34.5,traditional
2024-06-04 01:51:00,1,1,False,0.0,22.5,15.5,20.0,33.08,32.4,5.6,45.2,8978,0.63,34.8,traditional
2024-06-23 01:48:00,1,6,False,0.0,31.4,9.0,17.7,39.27,32.4,7.6,44.7,10541,0.63,32.2,traditional
2024-06-11 04:11:00,4,1,False,0.0,24.2,0.6,11.9,40.22,32.4,5.5,55.0,13267,0.77,24.6,traditional
2024-06-02 18:40:00,18,6,False,0.0,13.7,22.1,20.0,60.06,32.4,8.1,48.9,17614,0.68,16.2,traditional
2024-06-04 09:36:00,9,1,False,0.0,7.7,12.0,8.9,57.56,32.4,7.8,56.2,19413,0.79,25.2,traditional
2024-06-17 22:12:00,22,0,False,0.0,17.0,6.1,8.3,35.46,32.4,6.2,48.5,10311,0.68,29.9,traditional
2024-06-19 16:35:00,16,2,True,7.07,19.8,24.0,4.2,82.23,53.6,15.0,56.7,27963,0.71,43.5,traditional
2024-06-15 15:52:00,15,5,True,2.77,10.5,23.4,6.8,62.53,46.6,12.1,47.0,17615,0.62,38.4,traditional
2024-06-21 09:57:00,9,4,True,2.39,29.8,3.5,5.6,73.64,46.0,11.8,47.4,20942,0.63,18.5,traditional
2024-06-10 11:16:00,11,0,True,0.26,18.5,13.8,6.6,41.9,42.5,10.4,45.3,11380,0.62,36.2,traditional
2024-06-05 05:18:00,5,2,False,0.0,24.3,7.2,14.1,38.79,32.4,6.8,53.0,12341,0.74,25.5,traditional
2024-06-12 21:38:00,21,2,False,0.0,19.6,5.1,15.0,32.62,32.4,5.8,44.6,8730,0.62,16.7,traditional
2024-06-09 06:00:00,6,6,False,0.0,17.7,5.2,7.9,44.29,32.4,6.6,50.5,13408,0.71,17.5,traditional
2024-06-26 11:44:00,11,2,False,0.0,23.8,0.6,15.1,41.52,32.4,6.9,56.8,14140,0.79,31.6,traditional
2024-06-09 16:13:00,16,6,False,0.0,33.5,19.7,11.5,38.38,32.4,6.5,43.7,10070,0.61,43.8,traditional
2024-06-24 20:07:00,20,0,True,3.12,11.2,2.5,4.3,54.56,47.2,12.3,49.2,16093,0.65,25.8,traditional
2024-06-27 21:16:00,21,3,False,0.0,35.8,2.5,7.5,38.61,32.4,8.0,44.8,10377,0.62,19.0,traditional
2024-06-19 04:46:00,4,2,False,0.0,12.1,4.2,15.9,36.4,32.4,8.1,49.8,10871,0.7,38.3,traditional
2024-06-11 20:25:00,20,1,False,0.0,21.1,4.3,20.0,31.97,32.4,7.8,43.7,8384,0.61,23.2,traditional
2024-06-17 04:30:00,4,0,False,0.0,23.3,10.4,19.0,35.33,32.4,6.1,48.3,10240,0.68,37.7,traditional
2024-06-09 13:00:00,13,6,False,0.0,11.1,8.9,17.7,42.15,32.4,5.7,48.0,12145,0.67,33.5,traditional
2024-06-26 01:53:00,1,2,False,0.0,31.4,6.4,15.3,40.55,32.4,6.5,55.4,13488,0.78,31.8,traditional
2024-06-16 14:22:00,14,6,False,0.0,33.9,1.9,19.4,37.84,32.4,6.4,43.1,9787,0.6,19.1,traditional
2024-06-02 17:29:00,17,6,False,0.0,24.0,6.3,12.7,68.72,32.4,6.3,55.9,23056,0.78,28.5,traditional
2024-06-10 18:16:00,18,0,False,0.0,8.4,4.9,14.7,51.15,32.4,6.3,49.9,15327,0.7,44.4,traditional
2024-06-11 10:47:00,10,1,False,0.0,4.6,7.0,20.0,46.41,32.4,5.9,53.8,14993,0.74,27.0,traditional
2024-06-04 23:24:00,23,1,False,0.0,38.4,1.5,13.4,38.17,32.4,5.9,44.3,10140,0.61,20.8,traditional
2024-06-28 09:21:00,9,4,True,0.39,10.5,3.6,5.4,70.25,42.7,10.5,54.2,22852,0.74,30.1,traditional
2024-06-09 14:56:00,14,6,False,0.0,12.2,3.8,15.2,48.55,32.4,5.7,55.3,16115,0.77,15.1,traditional
2024-06-03 19:14:00,19,0,False,0.0,21.7,11.4,15.3,54.48,32.4,5.6,53.2,17392,0.74,30.9,traditional
2024-06-27 23:50:00,23,3,False,0.0,22.2,6.1,19.8,36.06,32.4,6.9,49.3,10666,0.69,18.2,traditional
2024-06-15 22:36:00,22,5,True,2.49,9.5,3.4,6.6,67.38,46.2,11.9,50.6,20455,0.67,29.2,traditional
2024-06-09 12:17:00,12,6,True,2.31,34.2,4.5,7.6,65.95,45.9,11.8,49.5,19594,0.66,18.8,traditional
2024-06-06 19:25:00,19,3,False,0.0,21.9,3.2,6.8,44.04,32.4,6.1,43.0,11365,0.6,43.0,traditional
2024-06-06 22:47:00,22,3,True,0.62,15.4,18.2,4.4,47.93,43.1,10.6,51.8,14888,0.7,17.4,traditional
2024-06-08 04:35:00,4,5,False,0.0,23.4,19.9,19.5,49.9,32.4,6.8,56.8,17017,0.8,15.2,traditional
2024-06-06 18:56:00,18,3,False,0.0,8.0,14.6,20.0,58.11,32.4,7.4,56.7,19783,0.79,21.2,traditional
2024-06-20 00:19:00,0,3,True,0.37,9.8,7.0,8.4,47.34,42.7,10.4,51.1,14524,0.7,19.6,traditional
2024-06-11 02:32:00,2,1,False,0.0,38.5,6.4,5.3,46.25,32.4,5.7,53.6,14887,0.74,21.1,traditional
2024-06-05 08:16:00,8,2,True,1.92,32.3,0.9,7.4,87.77,45.2,11.5,56.5,29748,0.75,40.5,traditional
2024-06-18 13:52:00,13,1,False,0.0,22.7,6.8,14.2,32.84,32.4,7.6,44.9,8847,0.63,40.3,traditional
2024-06-14 02:20:00,2,4,True,0.81,27.9,3.0,6.7,50.08,43.4,10.7,54.1,16257,0.74,32.6,traditional
2024-06-08 06:39:00,6,5,False,0.0,7.0,11.0,13.2,40.57,32.4,7.9,46.2,11251,0.65,30.1,traditional
2024-06-23 01:13:00,1,6,True,0.78,3.7,3.2,10.3,72.33,43.4,10.7,55.5,24089,0.74,36.9,traditional
2024-06-20 14:46:00,14,3,False,0.0,29.7,12.4,15.4,34.64,32.4,6.1,47.4,9843,0.66,19.6,traditional
2024-06-23 00:03:00,0,6,False,0.0,25.8,3.3,16.7,39.04,32.4,7.7,44.5,10421,0.62,39.6,traditional
2024-06-24 19:55:00,19,0,False,0.0,13.9,4.2,20.0,44.11,32.4,7.1,43.1,11400,0.6,38.2,traditional
2024-06-04 03:25:00,3,1,False,0.0,13.5,19.1,12.4,35.57,32.4,6.7,48.6,10380,0.68,32.5,traditional
2024-06-14 10:11:00,10,4,False,0.0,28.9,7.2,10.3,40.99,32.4,7.6,56.0,13782,0.78,18.1,traditional
2024-06-05 07:41:00,7,2,False,0.0,17.0,0.6,14.1,56.24,32.4,7.9,54.9,18531,0.77,18.1,traditional
2024-06-01 13:36:00,13,5,False,0.0,42.3,4.1,17.6,50.24,32.4,7.6,48.6,14637,0.67,16.6,traditional
2024-06-21 08:34:00,8,4,False,0.0,28.6,3.4,15.4,54.73,32.4,6.7,53.4,17551,0.75,25.4,traditional
2024-06-11 11:58:00,11,1,True,0.58,0.4,19.7,5.8,58.43,43.1,10.6,53.8,18863,0.72,25.9,traditional
2024-06-22 17:20:00,17,5,False,0.0,21.7,6.5,17.1,62.12,32.4,5.9,50.6,18842,0.71,40.8,traditional
2024-06-07 00:31:00,0,4,True,4.16,23.6,1.8,5.6,50.82,48.9,13.0,45.8,13963,0.61,20.7,traditional
2024-06-30 15:39:00,15,6,False,0.0,30.3,6.0,10.0,43.69,32.4,6.8,49.8,13051,0.7,31.0,traditional
2024-06-19 03:00:00,3,2,False,0.0,22.9,2.5,14.1,36.89,32.4,7.6,50.4,11162,0.71,41.9,traditional
2024-06-23 17:06:00,17,6,False,0.0,27.8,0.2,9.4,66.78,32.4,5.9,54.3,21771,0.76,18.1,traditional
2024-06-01 14:07:00,14,5,True,0.84,27.7,14.2,7.3,59.85,43.5,10.8,53.9,19351,0.73,26.9,traditional
2024-06-21 13:30:00,13,4,False,0.0,23.8,10.7,11.4,32.66,32.4,7.8,44.7,8752,0.62,40.4,traditional
2024-06-29 17:01:00,17,5,False,0.0,10.0,13.9,20.0,53.32,32.4,7.7,43.4,13881,0.61,25.9,traditional
2024-06-05 05:29:00,5,2,False,0.0,19.1,29.4,17.4,32.57,32.4,7.0,44.5,8704,0.62,38.4,traditional
2024-06-27 13:22:00,13,3,False,0.0,19.1,2.5,14.7,38.01,32.4,6.1,52.0,11849,0.73,31.2,traditional
2024-06-22 21:42:00,21,5,False,0.0,30.8,13.8,20.0,47.89,32.4,6.8,54.6,15675,0.76,30.9,traditional
2024-06-02 16:36:00,16,6,False,0.0,18.2,0.1,17.6,48.95,32.4,7.8,55.8,16381,0.78,19.1,traditional
2024-06-08 01:11:00,1,5,False,0.0,44.1,14.6,13.9,56.8,32.4,6.6,54.9,18711,0.75,27.1,traditional
2024-06-02 21:42:00,21,6,True,0.28,20.2,19.8,9.6,58.91,42.6,10.4,53.0,18747,0.72,36.6,traditional
2024-06-22 01:54:00,1,5,False,0.0,22.8,1.9,15.9,40.95,32.4,7.1,46.7,11461,0.65,15.9,traditional
